subject,allEigenvectorCentralitytotal,PreCG.L,PreCG.R,SFGdor.L,SFGdor.R,ORBsup.L,ORBsup.R,MFG.L,MFG.R,ORBmid.L,ORBmid.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,ORBinf.L,ORBinf.R,ROL.L,ROL.R,SMA.L,SMA.R,OLF.L,OLF.R,SFGmed.L,SFGmed.R,ORBsupmed.L,ORBsupmed.R,REC.L,REC.R,INS.L,INS.R,ACG.L,ACG.R,DCG.L,DCG.R,PCG.L,PCG.R,PHG.L,PHG.R,CAL.L,CAL.R,CUN.L,CUN.R,LING.L,LING.R,SOG.L,SOG.R,MOG.L,MOG.R,IOG.L,IOG.R,FFG.L,FFG.R,PoCG.L,PoCG.R,SPG.L,SPG.R,IPL.L,IPL.R,SMG.L,SMG.R,ANG.L,ANG.R,PCUN.L,PCUN.R,PCL.L,PCL.R,HES.L,HES.R,STG.L,STG.R,TPOsup.L,TPOsup.R,MTG.L,MTG.R,TPOmid.L,TPOmid.R,ITG.L,ITG.R
neo-0042-2-4year,6.74415806903,0.106492309462,0.2436981264,0.125246236184,0.265214111929,0.0294209276038,0.081984592909,0.110487581465,0.253338434195,0.023715744535,0.0804369013414,0.0442337721115,0.127023926467,0.049934220186,0.131078207284,0.028081325125,0.0998783403112,0.0410898488867,0.11389602958,0.0594722140477,0.12241413284,0.00594418731887,0.009839782519,0.0785410650548,0.117720048266,0.0215838173027,0.0375572825353,0.0136033269649,0.0340122059863,0.0460183933437,0.169473823835,0.0350161821237,0.0480113477577,0.047901717782,0.0706642111017,0.0246089616779,0.0289916104739,0.0106681962605,0.0490107765404,0.0366318731208,0.0582587635563,0.0628970243605,0.0881115586362,0.0261193439457,0.0513455036886,0.0398607084533,0.105392736329,0.049924630702,0.200499796309,0.0216605824803,0.0933005775139,0.0175197825097,0.0954661779939,0.0962723737998,0.215876428093,0.0613453028635,0.126129885584,0.0591027690782,0.100302428956,0.040197708484,0.154689103405,0.0343473845999,0.171191733045,0.0857186324884,0.102397553431,0.0634088053811,0.0808844754108,0.0199541317666,0.100845608716,0.0600513035373,0.321376713656,0.0231221210626,0.103568736241,0.0664933983737,0.373427862987,0.0109835607202,0.0696317925583,0.0338755685007,0.235669706986
neo-0113-2-4year,6.54788629994,0.139677355757,0.26861203428,0.2843228999,0.358531674562,0.0326621434599,0.0530028698873,0.137808874898,0.272600409663,0.0130540308007,0.0478607255885,0.0292979193107,0.0905992817561,0.0340867369299,0.107943649475,0.0147933871599,0.0491293613352,0.0411605392324,0.102392997812,0.152364095133,0.242985091129,0.00565822590453,0.00446969575553,0.239573538101,0.165231750071,0.0503201365711,0.0326019529322,0.0178160495474,0.0230240754719,0.0335032489774,0.0953653871117,0.0914121705635,0.0939619024864,0.0967659812311,0.159096688627,0.0307201574483,0.0432027615267,0.0087996345294,0.0304995935213,0.0378051020838,0.0830006490283,0.0677208010067,0.159407857453,0.0225710630451,0.0506688155781,0.0420027090763,0.106076439428,0.0410215008692,0.0907105127936,0.0174996932029,0.0350150862477,0.0123348788688,0.0320074910438,0.121690537402,0.237026013422,0.0673100038831,0.172470091364,0.0501049917817,0.062101647691,0.0442439189253,0.0915641453921,0.0303417449331,0.0852565722578,0.10442088051,0.215674060569,0.114793094833,0.146321081817,0.0146878719905,0.0419692500494,0.0356080678999,0.115117389367,0.00959113612274,0.0519477445027,0.0416518751422,0.108476193477,0.00447143087513,0.0220431860673,0.0159570702048,0.0502946712914
neo-0160-2-4year,6.28519531808,0.257604379216,0.147452543837,0.465016030359,0.199418424787,0.053187025341,0.0266876979647,0.285469778388,0.170417232892,0.0321253844595,0.0246963821774,0.0904863873345,0.0608449592698,0.0821981058009,0.067912294185,0.0297841797812,0.030951440119,0.0857370225716,0.0657175823691,0.275564482637,0.106882853812,0.0107280220376,0.00311502313222,0.350996074184,0.115384732915,0.0571379973735,0.0230541334748,0.0258429442417,0.0112123241175,0.0737486756759,0.0718839237643,0.082633969182,0.0720629869358,0.121934072186,0.105963763642,0.0321994040626,0.027378142674,0.0159942674306,0.0148508223942,0.0614574094812,0.0592519928987,0.0834144244774,0.114432747198,0.0374921065346,0.030096330292,0.057217104932,0.0804883441444,0.0540878252141,0.0644768525375,0.0226729544279,0.0324687450012,0.0213351641773,0.0293014052322,0.197707077546,0.120532600162,0.0992799083537,0.113327495398,0.0693220651055,0.0494769957286,0.0633181543588,0.0596688747852,0.0386113286059,0.0506671913623,0.112654049079,0.118498544414,0.16471630117,0.0753964128384,0.0239101432948,0.022900722673,0.0538691209107,0.0689531996,0.0198804422841,0.0341896097806,0.0584295415687,0.0610475891508,0.00864178340502,0.0168911983594,0.0257764221768,0.0350596726923
neo-0164-2-4year,6.47201537898,0.246008059893,0.151747875934,0.450188181271,0.178476353697,0.0552855581207,0.0351176416692,0.269495224281,0.154257129552,0.0472677374285,0.0261149544816,0.0736020821722,0.0507810672894,0.0753387182827,0.0641023468559,0.0420593343378,0.0348631113827,0.0705398395107,0.0470102402423,0.260059306078,0.0950629473273,0.00822267291551,0.00403576776222,0.342630806947,0.117514478008,0.0507840004426,0.0318222502792,0.0232963709645,0.0169569546413,0.0574761268872,0.061574466654,0.083157005152,0.0819115374543,0.145143856161,0.0943915249148,0.0544728790794,0.0281539651915,0.0440262513507,0.0148043711505,0.077215903698,0.0423657003473,0.125861896017,0.0746897940783,0.0505270927282,0.0245679556676,0.1079381542,0.0480353639093,0.114821545812,0.0422675779739,0.0402217235083,0.0222135266288,0.0521928064681,0.0243984614925,0.21528762217,0.108769445758,0.14159354994,0.0661699624618,0.106529900875,0.0296885187491,0.0754202480286,0.0405177445956,0.0627471565474,0.038527748062,0.167117945738,0.0882135897184,0.177386300234,0.0701451488974,0.0307130531138,0.0213719787726,0.0851736575867,0.0501829530084,0.0387906955939,0.0245265172371,0.11642128445,0.0508571149912,0.0218799020692,0.0140286291755,0.0612768317022,0.0336073812167
neo-0176-2-1-4year,6.02738500155,0.0339221865068,0.383581721467,0.0413575750331,0.348003884495,0.00801590476075,0.070834785052,0.0273741616374,0.317649789881,0.00435123767857,0.0549126651726,0.0116565913488,0.115727185454,0.0115781390786,0.114993516481,0.00737407879896,0.064010145639,0.0177728961678,0.167247711108,0.0306040133923,0.173256174538,0.0025452616676,0.00720838784638,0.0301645729318,0.138584324538,0.0105925341262,0.0632445343681,0.00542838956966,0.0329451679029,0.0171158250599,0.116571011297,0.0159515799536,0.127309333374,0.0371297807784,0.163140562684,0.0213614625148,0.0495623362549,0.0187555033427,0.0360152455303,0.0404473671544,0.0971957352983,0.059132239454,0.156144018905,0.029963355846,0.0584565688566,0.0380563062324,0.104054695764,0.036853457179,0.0930856757059,0.020115652054,0.0480388568509,0.0206258812579,0.0541175130836,0.0393013232821,0.358237201753,0.0384862405796,0.154957813861,0.0302600103666,0.110190727382,0.0210212129948,0.209174180098,0.0227733901162,0.100943523745,0.060382286459,0.178755251752,0.0327559211666,0.135553350582,0.00994784426695,0.0781209674376,0.0361458750517,0.194936607707,0.0123740831267,0.0746729719162,0.0474721148188,0.164463107473,0.00873493395552,0.0438607699912,0.0234785153791,0.0862472752164
neo-0177-1-4year,7.44600810096,0.253692596334,0.255681627561,0.197538644668,0.269874099806,0.0411019666408,0.0698028585952,0.185589288855,0.243947315134,0.0397483892658,0.0633489592647,0.082324967629,0.0829017803655,0.0720955414531,0.0940885282988,0.0464264479722,0.0723382466065,0.0795611624033,0.0902114942041,0.127301113506,0.15221019625,0.00984702312993,0.00937039791211,0.123211390459,0.148833067522,0.0329558298798,0.0417460239847,0.0239487893763,0.0321444911522,0.0730277628135,0.110380558149,0.0549533467833,0.0678059379673,0.103040419228,0.106985020681,0.056084589864,0.039613210364,0.019337668911,0.023566023179,0.0892913732451,0.0949112995599,0.169250542585,0.1346124994,0.0632403173022,0.0583427400907,0.112886593351,0.0898303548864,0.119745727845,0.0946328808665,0.052301916571,0.0624259136993,0.039264460325,0.0446313405359,0.248914002075,0.191310903991,0.138063874199,0.109275181045,0.120728709883,0.0574753251892,0.0756118784569,0.0905618126528,0.0783301947697,0.0689155769201,0.202810129555,0.146901171499,0.142527277896,0.107829529745,0.0396126779327,0.0451205014513,0.0964842604968,0.130385574446,0.037657848479,0.0604105869996,0.113554253072,0.128368437945,0.0184979032043,0.0307444493809,0.0605075223853,0.0834037808546
neo-0189-1-4year,7.07980149989,0.32686058011,0.183275797214,0.283659803916,0.243397789362,0.0538553396878,0.0688546004401,0.328021040617,0.225594132341,0.05213967309,0.0652649765437,0.132331004176,0.0806999526914,0.162138032638,0.08564611039,0.0650397476843,0.0809338081789,0.0964020075665,0.0712029993474,0.137617599183,0.106542821104,0.0137406544864,0.00868526908212,0.171680245251,0.142905578572,0.046119021639,0.0347586324979,0.0278956150014,0.029923634344,0.123839380761,0.105377357591,0.0803918270768,0.0681962663246,0.108903068193,0.0751755683464,0.0607249052314,0.029312926654,0.0344494309425,0.017222194563,0.090074969026,0.0443615205843,0.130196190407,0.0755951501512,0.0683787230733,0.0325901111835,0.0717635064877,0.0584854315307,0.0844185957504,0.0637776197566,0.0569219262754,0.0347317530384,0.0509686358065,0.0260659925719,0.25654065579,0.131431663476,0.127662650246,0.0820845197285,0.104128578987,0.0354041284157,0.0818168185009,0.0591446374056,0.0625952107375,0.0483011987971,0.173823207095,0.0985117613481,0.147926346595,0.0607997985011,0.0396723499794,0.0304334022884,0.0999710906647,0.0968187416137,0.0405144578291,0.0421616561416,0.101122833719,0.096305892798,0.0190256488083,0.0193791320074,0.0562834295116,0.0508321704284
neo-0199-1-4year,4.85610509578,0.0588210067235,0.351086927135,0.0626467658425,0.539395652135,0.0121470905971,0.0899391989387,0.0462196141544,0.53019342651,0.00948232717782,0.112221457156,0.0177721265585,0.121825335138,0.0176425469667,0.186796192518,0.00982480273048,0.0853213598297,0.0189571359824,0.101272521076,0.0548093940189,0.129953664323,0.0031948491297,0.00702756588124,0.0390392152688,0.172348492734,0.0146692113471,0.0385836823025,0.00751968327389,0.0273960243383,0.0203319745065,0.120856012884,0.023806479422,0.0491212224635,0.0472043671222,0.0599726299861,0.0175153941781,0.0149142671998,0.00322212896607,0.00730239205166,0.0216171512966,0.0330259717714,0.0418074261169,0.0448405740688,0.0130174058281,0.023670339354,0.0297181038146,0.0403243952872,0.027899385493,0.0375336696077,0.00882857568247,0.0200500564895,0.00643758313808,0.0165795160095,0.0594948543342,0.237127864817,0.0387026655411,0.0836371175888,0.0266247734504,0.0710960780027,0.0164996050086,0.0854772718009,0.0150542815146,0.0518793211483,0.0590379121656,0.0613536836562,0.0667763209347,0.0884159366882,0.00575229022245,0.0271103574676,0.0172292259827,0.0667078759823,0.00705136606738,0.0286156639638,0.0217548726718,0.0606785751674,0.00300395693424,0.0138177515695,0.0109250350588,0.036576145513
neo-0205-1-1-4year,6.59530788991,0.391512911555,0.16540287373,0.292068722491,0.175688939468,0.0407096625813,0.0399468097241,0.348638709343,0.142953558116,0.058462760224,0.0328862659762,0.133023324915,0.0530666455149,0.118375889176,0.0540748436993,0.0489252144536,0.0244123477491,0.100256207791,0.0462768741925,0.136646585719,0.103420496114,0.00860000842273,0.00527197874348,0.133820468226,0.0819424594284,0.0337060055713,0.0220169930008,0.0182300970641,0.0157630126284,0.100596723406,0.0460075549657,0.0518403236293,0.0364761983726,0.0939273528599,0.0715818315954,0.0548695928882,0.0255256248285,0.0150499017445,0.00863549254974,0.100637150095,0.049665142133,0.151658055178,0.0748760436403,0.0546610341088,0.0273684609143,0.100878728684,0.0541936716824,0.132462456594,0.0587206452879,0.0576955551972,0.0289266223707,0.0308950296386,0.0150799019254,0.334511981577,0.13721602786,0.165700100058,0.0824050449282,0.139337366144,0.0619076336637,0.10447593694,0.0541461108471,0.0816638719655,0.059868932091,0.166437972832,0.0885063310624,0.13856827657,0.0606417062025,0.0432248619053,0.0225455147791,0.135288041727,0.0647426210189,0.0386063039627,0.0202801130886,0.135596233382,0.0701992444096,0.0169626192511,0.0102544422826,0.0601197773322,0.0337710641148
neo-0205-2-4year,5.09151991434,0.0360971106871,0.330509488134,0.074695996144,0.504613405133,0.0112942933417,0.05854152952,0.0410118643794,0.385713785028,0.00623810198508,0.0415728237803,0.0136089946059,0.106106279984,0.0134151304663,0.121473120899,0.0069701259698,0.0364484292506,0.0139672990589,0.108296270152,0.0521829232603,0.285857669083,0.00235189065495,0.00527326007748,0.0823803297392,0.256740667305,0.0152500380617,0.0539553758102,0.00505778399972,0.0239522899389,0.0120457500856,0.0752135227093,0.0305156059972,0.170489427986,0.0397063215608,0.249093891561,0.0113382473203,0.0413191963664,0.00470883936238,0.0134963990724,0.0177451693936,0.0324213189267,0.0312804173508,0.076682566099,0.0103218695028,0.0233449527568,0.0164830886986,0.0533937312465,0.0156593609618,0.0461853060688,0.00740745215509,0.0216194824831,0.00519706778293,0.0191912065473,0.0321483083384,0.230391882874,0.0277428109973,0.12765905869,0.0181756336495,0.0871396622243,0.012406725101,0.110836905169,0.00991701928465,0.0525547629688,0.038993983769,0.134526741986,0.0336124323827,0.168034468275,0.00429423783491,0.0341031398362,0.0102972163349,0.070897070832,0.00366696934016,0.0279753876742,0.014458999618,0.0615635683977,0.00212379181308,0.0162496706728,0.00734139685311,0.0359716009839
