subject,allstrengthtotal,PreCG.L,PreCG.R,SFGdor.L,SFGdor.R,ORBsup.L,ORBsup.R,MFG.L,MFG.R,ORBmid.L,ORBmid.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,ORBinf.L,ORBinf.R,ROL.L,ROL.R,SMA.L,SMA.R,OLF.L,OLF.R,SFGmed.L,SFGmed.R,ORBsupmed.L,ORBsupmed.R,REC.L,REC.R,INS.L,INS.R,ACG.L,ACG.R,DCG.L,DCG.R,PCG.L,PCG.R,PHG.L,PHG.R,CAL.L,CAL.R,CUN.L,CUN.R,LING.L,LING.R,SOG.L,SOG.R,MOG.L,MOG.R,IOG.L,IOG.R,FFG.L,FFG.R,PoCG.L,PoCG.R,SPG.L,SPG.R,IPL.L,IPL.R,SMG.L,SMG.R,ANG.L,ANG.R,PCUN.L,PCUN.R,PCL.L,PCL.R,HES.L,HES.R,STG.L,STG.R,TPOsup.L,TPOsup.R,MTG.L,MTG.R,TPOmid.L,TPOmid.R,ITG.L,ITG.R
neo-0042-2-4year,1.0,0.0179823337435,0.0189481881153,0.0204812694376,0.0235558737944,0.0135298876194,0.0151938546018,0.0189674807598,0.0197815030175,0.00741046366238,0.00919064785186,0.0109655495636,0.0115512382071,0.0115347486751,0.0116023309356,0.0115630738709,0.0134451359574,0.0102894005132,0.0100203178984,0.0110763224193,0.013991799555,0.0040772607093,0.00298944531281,0.0157495939169,0.013724670216,0.00795207140546,0.00944902252283,0.00890355409254,0.00995298924,0.0176909476338,0.0185704100237,0.00960555436935,0.01022198822,0.0128771967627,0.0132426967358,0.00540053755766,0.00510964246481,0.00827308039819,0.00794764685826,0.0124785315709,0.0114577048981,0.0165782630446,0.0157489140475,0.011303134421,0.0101469570724,0.0111710994577,0.0117853210348,0.0176998156135,0.017582764757,0.00926659358574,0.00919284124019,0.0124920021588,0.0122343127531,0.0208102345216,0.0204336866699,0.0130508305633,0.0137009880969,0.0152117119664,0.00914621082938,0.0100468732753,0.0118470191871,0.00919161639603,0.0127174004637,0.0221049541552,0.0196666401536,0.0117265554939,0.0092096734048,0.00582100443599,0.00618732456906,0.0199434549343,0.02171411016,0.00949769254198,0.00999722661828,0.0231614577866,0.023871303541,0.00516640616785,0.00590277222648,0.0122096297151,0.0157052378313
neo-0113-2-4year,1.0,0.0180602703265,0.0208698351962,0.0281671325817,0.0273496528667,0.0129866440753,0.0127474161788,0.0146054174607,0.0187077620204,0.00526424994355,0.00713153823726,0.00815517886529,0.00994572357772,0.0090944455127,0.0110306204759,0.00875028666786,0.0106913566042,0.00896161129771,0.0105655519546,0.0132223091992,0.0160622305809,0.00321996133969,0.00216170077398,0.0191758385507,0.0125312887165,0.00945917476242,0.00772137866478,0.00945698066269,0.00954134504533,0.0129474247825,0.0152327188299,0.00902963222876,0.0112839113423,0.0127824181164,0.014079490026,0.00533050292548,0.0038447768304,0.00791546531068,0.00834240295077,0.013504405543,0.0146008065879,0.0170453542683,0.0197480916275,0.0103570798464,0.0109040959773,0.0126055406604,0.0134555978616,0.0197562671925,0.0160071438966,0.0103591472527,0.00868368239963,0.0119368124614,0.0113705101363,0.0236517194726,0.0230474475124,0.0134181561158,0.017089255459,0.0150746073574,0.00766226082609,0.0108756571429,0.0108542459544,0.0108444732845,0.0121017903336,0.0222086199556,0.0246247096057,0.0130176820444,0.0103390413903,0.00632754561304,0.00614442178744,0.0176691907644,0.0225862009094,0.00700637281356,0.0108597072088,0.021950000287,0.0230481750398,0.0044270367681,0.00557749175394,0.010591073001,0.012242936405
neo-0160-2-4year,1.0,0.0185811341813,0.0199140371144,0.0272301100867,0.0255186709341,0.0142181896637,0.0114266286342,0.0183638917183,0.0212886719221,0.00558581865522,0.00666295632226,0.0103847175431,0.0112008484025,0.00926979789609,0.0116457536595,0.00836933870323,0.00996934585418,0.00981319776802,0.0106442444476,0.0143091139378,0.0118335462238,0.00442595283269,0.00240210594856,0.0183054503599,0.0117405075534,0.00908731834097,0.00812043258786,0.0102306925689,0.00802739566053,0.0149811538254,0.016657580805,0.00719518109505,0.00941295281598,0.0111108357767,0.0143504065479,0.00488398721875,0.00412627157106,0.00847063798744,0.00722350145625,0.0163669463012,0.0135480567419,0.0179252233206,0.0208640042101,0.0116938740442,0.00935184972364,0.0126641240059,0.0154606285047,0.0186764877061,0.0166912054598,0.00925828811921,0.0108774085071,0.0122330590683,0.0145337681183,0.022368638662,0.020094754382,0.0143394563104,0.0191805995482,0.0132277370193,0.00984841911463,0.0109277077834,0.0129818063982,0.00954302218461,0.01137916366,0.0195010674355,0.0205177190723,0.0118583507256,0.00987497021586,0.00557631520171,0.00518894662735,0.0174014648489,0.0217670379813,0.00789137007388,0.0108518126319,0.0223024387064,0.0207762245124,0.00472637840368,0.00637762785524,0.0115954875023,0.0127741806912
neo-0164-2-4year,1.0,0.0173750873263,0.0220330887063,0.0261217381602,0.0240589766873,0.0132339451182,0.0127036923797,0.0169083788252,0.0203346501537,0.00680333025235,0.00713519167925,0.00953830373679,0.0095545461223,0.0100576213801,0.0109573360144,0.0101950182457,0.0113440663002,0.00878730066698,0.00934922704205,0.0137270253373,0.0115008157953,0.00378499688397,0.00232978944214,0.0185441935005,0.0123368465268,0.00835665094208,0.00874790424254,0.00992009022078,0.00898156110178,0.0130369665772,0.0171749985413,0.00725814748658,0.0110220226442,0.0127610698465,0.0139113480321,0.00592288050898,0.00495864039741,0.010417274458,0.00680609133254,0.0132292197675,0.0143490437042,0.0176065901133,0.0195916688993,0.0104464985759,0.0096170142188,0.0145428529119,0.0133370881159,0.0219072464779,0.0167153001757,0.00763469293184,0.0094975446781,0.013160328847,0.0126925549485,0.0219558017384,0.020093866771,0.0146101144012,0.0150944225503,0.0147364382966,0.00861910755091,0.0102112463065,0.0105967446707,0.00912741668513,0.0123463366208,0.021592236235,0.0204185246794,0.0134201980623,0.0104912130342,0.00553194235127,0.00617574854164,0.0180750533865,0.0206230039758,0.00937809483382,0.0098358002797,0.0250984105743,0.0219856077961,0.00539203150608,0.006229376526,0.0122880692339,0.0137547364119
neo-0176-2-1-4year,1.0,0.0173516783816,0.0214785513385,0.0232571970203,0.0252532510477,0.0131916219882,0.0138793148286,0.0155263416226,0.0190554573047,0.00570047210689,0.00653293807299,0.00958432411832,0.0104207358093,0.0108087193334,0.0103396681053,0.0103480331877,0.0102689255945,0.0101690911051,0.0116939297672,0.0117210069851,0.012159162787,0.00474473594036,0.00260406180712,0.0134022428127,0.0106040480645,0.00843133085648,0.0107417367377,0.00891689000635,0.00948475377023,0.0154400202388,0.014912380644,0.00677445978874,0.011183639703,0.012429506875,0.0143699527785,0.00616332603312,0.00506442344886,0.0095780466632,0.00759980122582,0.0149081270579,0.014320137547,0.0201297856378,0.0194731558167,0.0138980998307,0.0105710504376,0.0133883289409,0.0128080396049,0.0176122109859,0.014593846249,0.0102944124995,0.00952786709884,0.0129619720586,0.0129152354397,0.0200614112905,0.0235180210908,0.0142775707177,0.0135446423097,0.0146384642723,0.00891707399444,0.0106441356087,0.0135228825299,0.0101383541636,0.0116250927172,0.0219398331685,0.0208434080477,0.0106127793014,0.00907135256431,0.00529709734118,0.00676243862613,0.0193922119859,0.0245541764488,0.00755304456865,0.0096716747424,0.0273875839676,0.0223274632898,0.00524478278628,0.00627675742475,0.010977709664,0.012611990273
neo-0177-1-4year,1.0,0.0201895641448,0.0210169096474,0.0185258237028,0.022692364193,0.0127320385232,0.0138304524047,0.0171981069274,0.0179340789457,0.00767280486851,0.00869769580132,0.010474266131,0.00988250895704,0.00973790918882,0.0106201870574,0.0130132366092,0.0133628468479,0.0100475469428,0.0106276148471,0.0135621157438,0.0155122023187,0.00416632195283,0.00307335660701,0.015939301464,0.0152705421259,0.00875773647997,0.00923919681391,0.0104844231553,0.0104163214251,0.0165541342051,0.0196139439742,0.00928139689053,0.0104267094037,0.0126523692089,0.0143763465166,0.00532419788551,0.00461795689276,0.00639411249802,0.00663015031845,0.0115863088021,0.0148022312891,0.0189690822019,0.018301487569,0.0110637808129,0.0109572860276,0.0127104281503,0.0128935525927,0.0189137301447,0.0167350360224,0.00979528520072,0.0115856258726,0.0122151254561,0.0120679479394,0.0227769232826,0.0193550764412,0.0128523955357,0.0125686048009,0.0130806901772,0.00758690723712,0.00882888283407,0.0111527578355,0.0100647816001,0.0106922845461,0.0236363267379,0.0209530619472,0.0122695462458,0.00995616352495,0.00629638156085,0.00562159257601,0.0179091160097,0.0215927756727,0.00933924226126,0.0106582274725,0.0215542832824,0.0204428291724,0.00501518345992,0.005762119601,0.0120284249465,0.0148597215365
neo-0189-1-4year,1.0,0.0207529247876,0.0191117226873,0.0181830097617,0.0221234640991,0.0120485315901,0.0138531933536,0.0214551357613,0.0203080818134,0.00616424994638,0.00915329881767,0.0109088063371,0.0105658754056,0.0119642495028,0.0102460919137,0.0117668002919,0.0156329362968,0.00966407698625,0.010172695957,0.0132173934364,0.0126354225314,0.00401349811431,0.00313678831628,0.0186008816294,0.0160499465817,0.00893700379249,0.008564971905,0.00959010244832,0.0100852526363,0.0182377297052,0.0210250025846,0.0109655450257,0.0115348395526,0.0132858001787,0.0126134867582,0.00712831921276,0.00506201088377,0.00946319192559,0.00736757720236,0.0142356438949,0.0120123765557,0.0172746645706,0.0168592286135,0.0126443779617,0.0103256803661,0.0101748048434,0.0129015321379,0.0169180594181,0.0166705901877,0.0123935022299,0.010463705517,0.0146779167947,0.0109562919195,0.0209906419904,0.0183836893842,0.0132155235291,0.0148738168335,0.0127879059228,0.00688104703538,0.00929538451836,0.0102464629603,0.00935750023853,0.0103250703403,0.0242314805841,0.0203402182243,0.0132392055274,0.00800375445516,0.00543031134195,0.00502442197424,0.0175241630277,0.0202346041007,0.00852935142924,0.0100483135824,0.0201763539735,0.021524611621,0.00512179341247,0.00516629804408,0.0117201050178,0.01322968619
neo-0199-1-4year,1.0,0.0181568674852,0.0190891554311,0.0200972418201,0.0264788419402,0.0127297911861,0.013839541015,0.0174119296379,0.0228175674597,0.00722036673208,0.00868841005417,0.0109122761865,0.0110291045991,0.0102874019779,0.0122394274502,0.010992794169,0.0120932946616,0.0103880230361,0.00996487610772,0.0134193314895,0.0129304640757,0.00460071739207,0.00269102606719,0.0137709263592,0.0129013470401,0.0094472255087,0.00830320197708,0.0108635340336,0.00906444325079,0.02000444583,0.0194633872768,0.00983233751374,0.00927757668484,0.0130108115302,0.012625375282,0.00553022645397,0.00425067648771,0.00656207866553,0.0060039841366,0.0131505603313,0.0159051572719,0.0188777849191,0.0169315021534,0.0111609538761,0.0126680096546,0.0142053977801,0.0138357413656,0.0197363567834,0.0152789428582,0.00875543952123,0.0100773068223,0.0118707918012,0.011921709986,0.0229443873651,0.0241750486685,0.0158543279537,0.0132347098371,0.0143205857624,0.00945336691429,0.0100721669678,0.0115729420362,0.00963277425631,0.0110046782812,0.0206024006512,0.0179205950987,0.0116302490122,0.00998364378207,0.00514017154212,0.00538735290955,0.0172465392075,0.018539493626,0.00917012730589,0.00842326561578,0.0219610083048,0.0211153413181,0.00473516541798,0.00542435265658,0.0115514963536,0.0155381260261
neo-0205-1-1-4year,1.0,0.0215484687953,0.0214050203694,0.0221567627533,0.0225399106071,0.0101084019063,0.0135256644276,0.0216879112463,0.0187233171693,0.00708917009712,0.00756879760951,0.0115794779557,0.0104739207803,0.0092643831112,0.010736149614,0.0101695854958,0.00917636374887,0.00945398879746,0.00950534687587,0.014399132855,0.0147580206859,0.00427593103453,0.00297875061411,0.0168871773176,0.0121233310877,0.00993281376982,0.00875140983642,0.00955040344584,0.00977896370777,0.0164127326894,0.016337567418,0.00944219056233,0.00904955569904,0.0134453028215,0.0151761530081,0.00719667235161,0.00502039227314,0.00588921134858,0.00651831530402,0.0153064491928,0.0126602662351,0.0199719394345,0.0181949969977,0.0108094609731,0.0104984296354,0.0117418196983,0.0130491461974,0.0193680684136,0.0175656666274,0.0104540680023,0.0105432485818,0.0107956272454,0.0105955190451,0.0239636636955,0.0216987410532,0.0150979255309,0.0150773957499,0.013557212321,0.0109618516677,0.00993535813555,0.0112172947789,0.00960290032407,0.0139390330695,0.0221444085687,0.0207990331536,0.0126929731039,0.00929106420457,0.00557743351411,0.005774744033,0.0199830718752,0.0201915574277,0.00813847549335,0.0086600906447,0.0213172767401,0.0221950694684,0.00422639100071,0.0046426469933,0.0112970981937,0.011825913788
neo-0205-2-4year,1.0,0.0182459322003,0.0217831420973,0.0245467106032,0.0298487432281,0.0134175316919,0.0115379781203,0.0157537843622,0.0214143589535,0.00620066314694,0.0056187296766,0.0108739251217,0.00952602306368,0.00978647443615,0.00954276217022,0.0093772474817,0.00825912649453,0.0100273103514,0.0107391586795,0.0114050158135,0.013996284637,0.00375177463521,0.0020846413711,0.0173645426728,0.0140786494059,0.0083817430639,0.00781025608879,0.00832472744276,0.00815018257185,0.013532832863,0.0139658196532,0.00752469510597,0.0106717288817,0.0116076607109,0.0168060211386,0.00508202316191,0.00504353367288,0.00786297524419,0.00767366459923,0.0138937359845,0.0113426600276,0.0192993476532,0.016753653685,0.0106021546532,0.0100240119584,0.0116460893651,0.0130520488421,0.019641671412,0.0156596670485,0.0105702106206,0.0105579790009,0.0115909862415,0.0134178986025,0.0209158757751,0.0212408501772,0.0163725210538,0.0167883942225,0.0174975848254,0.0120550292548,0.0114096164538,0.0140669672015,0.00974813133113,0.0109394386198,0.0214482915273,0.0219859029613,0.0119519045717,0.0121821019815,0.00591649946603,0.00700754321363,0.0167344222481,0.0205989791088,0.00742567107629,0.00927944395247,0.0244934876587,0.0226948464224,0.00500280850079,0.00632218468788,0.012540060313,0.0137109536862
