PreCG.L,PreCG.R,SFGdor.L,SFGdor.R,ORBsup.L,ORBsup.R,MFG.L,MFG.R,ORBmid.L,ORBmid.R,IFGoperc.L,IFGoperc.R,IFGtriang.L,IFGtriang.R,ORBinf.L,ORBinf.R,ROL.L,ROL.R,SMA.L,SMA.R,OLF.L,OLF.R,SFGmed.L,SFGmed.R,ORBsupmed.L,ORBsupmed.R,REC.L,REC.R,INS.L,INS.R,ACG.L,ACG.R,DCG.L,DCG.R,PCG.L,PCG.R,PHG.L,PHG.R,CAL.L,CAL.R,CUN.L,CUN.R,LING.L,LING.R,SOG.L,SOG.R,MOG.L,MOG.R,IOG.L,IOG.R,FFG.L,FFG.R,PoCG.L,PoCG.R,SPG.L,SPG.R,IPL.L,IPL.R,SMG.L,SMG.R,ANG.L,ANG.R,PCUN.L,PCUN.R,PCL.L,PCL.R,HES.L,HES.R,STG.L,STG.R,TPOsup.L,TPOsup.R,MTG.L,MTG.R,TPOmid.L,TPOmid.R,ITG.L,ITG.R
0,2.30481138373834E-05,0.002370561773804,5.80856714174019E-06,1.71046519640654E-06,2.45508411471601E-07,0.003707346980583,4.02256089565008E-06,2.69789463155606E-08,2.69789463155606E-09,0.001692076346598,1.64031993598608E-06,0.000174132911099,4.91016822943202E-07,5.7465155652144E-07,2.69789463155606E-09,0.000370447911859,9.1728417472906E-08,2.90806062335427E-05,5.60622504437349E-06,1.37322836746203E-05,4.07382089364965E-07,1.07915785262242E-07,2.02342097366704E-07,8.36347335782378E-08,0,9.12158174929103E-06,5.93536818942333E-08,0.000170593273343,6.34005238415674E-07,2.15831570524485E-08,5.39578926311212E-09,1.61873677893363E-08,9.71242067360181E-08,0,0,6.47494711573454E-08,2.15831570524485E-08,4.50548403469862E-07,2.42810516840045E-08,5.93536818942333E-08,8.09368389466817E-08,6.74473657889014E-08,1.61873677893363E-08,1.24103153051579E-07,4.5864208736453E-07,9.48309962991954E-06,4.07382089364965E-07,3.55042933512777E-06,0,1.22214626809489E-06,0,0.007198479289604,1.27718331857864E-05,1.94976845022556E-05,8.2825365188771E-07,0.000894940211391,4.07382089364965E-07,5.34884589652304E-05,1.61873677893363E-06,4.91286612406358E-05,9.33471542518396E-07,7.82389443151257E-07,7.82389443151257E-08,0.001131693954783,1.05109974845424E-05,2.07468097166661E-06,2.42810516840045E-08,6.87963131046795E-07,2.23925254419153E-07,1.83456834945812E-06,1.07915785262242E-08,1.84266203335279E-06,3.45330512839175E-07,4.82923139048534E-07,2.69789463155606E-09,1.58366414872341E-06,2.96768409471166E-08
2.30481138373834E-05,0,1.1479541657271E-05,0.002790105972168,8.09368389466817E-08,1.6457157252492E-06,4.69433665890754E-07,0.003432234571319,0,8.36347335782378E-08,1.0683662740962E-06,0.002374411669443,2.64393673892494E-07,2.61102242441995E-05,8.09368389466817E-09,4.31663141048969E-08,2.07737886629816E-07,0.000788993889209,4.77257560322267E-06,3.47542786437051E-05,8.30951546519266E-07,2.06173107743514E-05,8.63326282097938E-08,3.23747355786727E-07,2.15831570524485E-08,2.69789463155606E-09,1.0251999599913E-07,2.07198307703505E-06,3.37236828944507E-07,0.000113435677678,1.07915785262242E-08,2.42810516840045E-08,9.0433428049759E-06,2.85976830944942E-07,2.96768409471166E-08,5.39578926311212E-09,8.09368389466817E-09,2.10165991798217E-06,1.29498942314691E-07,2.18529465156041E-07,4.04684194733409E-08,4.96412612206315E-07,2.42810516840045E-08,3.26445250418283E-07,5.39578926311211E-08,1.06297048483309E-06,1.45686310104027E-07,7.47316812941028E-07,0,1.34894731577803E-08,0,2.69789463155606E-07,8.29332809740332E-06,0.006827710328284,1.64922298827022E-05,1.00955217112828E-05,2.53602095366269E-07,0.000220212951406,1.72665256419588E-07,0.000500942377293,2.8058104168183E-07,0.000361237299587,3.12928798314187E-05,1.62952835745986E-06,0.000137805759885,0.001176711024605,1.07915785262242E-08,1.10883469356954E-06,5.93536818942333E-08,2.03421255219327E-06,3.77705248417848E-08,2.1367325481924E-06,4.04684194733409E-08,4.85081454753779E-06,2.69789463155606E-09,1.07376206335931E-06,1.07915785262242E-08,1.04138732778064E-06
0.002370561773804,1.1479541657271E-05,0,0.000704622630397,0.001183631124335,0.000203434744692,0.007878157186237,2.33340906683283E-05,0.000173372104813,9.22679963992172E-07,0.000228487394241,2.35256411871688E-06,5.30325147724974E-05,3.61517880628512E-06,1.77737298326913E-05,2.75185252418718E-07,3.41688355086575E-05,5.12599979995651E-08,0.002068527074012,0.000222387454479,4.31393351585814E-06,1.17897995399E-06,0.003703734499671,0.00031028755947,1.34166300027283E-05,1.93358108243623E-05,3.17272408670992E-06,4.03335247417631E-06,0.000151554230928,1.30038521241002E-06,8.63326282097938E-07,4.09027805090214E-05,5.50370504837436E-07,1.01171048683352E-05,4.31663141048969E-08,5.39578926311212E-09,1.48923783661894E-06,1.37592626209359E-07,9.13237332781725E-06,5.66557872626772E-08,8.06670494835261E-07,2.21227359787597E-07,7.58108391467252E-07,1.26801047683135E-07,2.26353359587553E-06,2.88674725576498E-07,8.77625123645185E-06,2.29321043682265E-07,4.53246298101418E-07,5.39578926311212E-09,6.6368207936279E-07,5.66557872626772E-08,2.72217568324006E-06,6.12422081363225E-06,2.70598831545073E-06,7.98576810940593E-07,3.53154407270688E-06,2.02342097366704E-07,1.06027259020153E-06,6.7717155252057E-07,5.84633766658198E-06,5.80047345784552E-07,4.47850508838306E-07,4.37058930312081E-07,0.000955267833247,6.66379973994346E-07,7.01452604204575E-07,5.39578926311212E-09,3.34808723776107E-06,7.82389443151257E-08,1.83780582301599E-05,5.66557872626772E-08,1.6942778286172E-06,1.56477888630251E-07,4.87239770459024E-06,5.93536818942333E-08,3.53424196733843E-07,3.50726302102288E-08
5.80856714174019E-06,0.002790105972168,0.000704622630397,0,7.69439548919788E-06,0.001114783551232,6.82918068085785E-05,0.008104262339519,1.6457157252492E-07,0.000221348765046,1.61064309503897E-06,4.69055960642336E-05,1.78573645662695E-05,5.21125327031368E-05,1.48384204735583E-07,7.31938813541158E-05,1.75363151051144E-07,1.96946308103592E-07,0.000249541763946,0.004077689674551,1.06566837946464E-06,1.50623457279775E-05,0.000748258378167,0.004398828166229,5.48023336507982E-05,0.000226776929045,4.5864208736453E-07,5.44704926111168E-06,1.29498942314691E-06,0.00011832965854,2.22414433425481E-05,4.19252825743811E-06,3.15923461355214E-06,2.66282200134583E-06,8.09368389466817E-08,2.69789463155606E-09,1.51082099367139E-07,2.46722464055801E-05,2.99466304102722E-07,6.97945341183552E-06,1.94248413472036E-07,1.98565044882526E-06,8.09368389466817E-09,3.01894409271123E-05,4.31663141048969E-08,7.89403969193302E-06,7.28431550520136E-08,4.47041140448839E-06,0,8.84909439150387E-07,3.77705248417848E-08,9.58022383665556E-06,1.13311574525354E-06,4.94524085964225E-06,5.44974715574324E-07,2.98926725176411E-06,1.1600946915691E-07,3.99288405470296E-07,7.01452604204575E-08,1.10883469356954E-06,1.18707363788467E-07,2.10435781261372E-06,4.8562103368009E-07,1.67269467156476E-07,0.000100917446588,0.000178894695124,1.07915785262242E-08,1.07915785262242E-07,3.77705248417848E-08,1.3570409996727E-06,1.05217890630686E-07,7.31399234614847E-06,1.07915785262242E-08,1.54049783461851E-06,6.47494711573454E-08,1.82674445502661E-05,2.69789463155606E-09,6.41829132847186E-06
1.71046519640654E-06,8.09368389466817E-08,0.001183631124335,7.69439548919788E-06,0,0.00013942179877,0.000140007241905,6.74473657889014E-08,0.002968345078896,1.61873677893363E-07,1.10613679893798E-07,8.09368389466817E-09,3.66913669891624E-07,5.39578926311212E-09,0.002918698421887,2.98656935713256E-06,3.58819985996956E-07,0,1.0251999599913E-06,3.64215775260068E-07,0.000431239571592,1.10074100967487E-06,0.000248915852391,1.40344478733546E-05,0.001010307581625,2.15939486309747E-05,0.003580019843447,4.28182856974262E-05,0.000310476412094,9.71511856823336E-06,5.91378503237088E-06,1.58474330657603E-05,2.69789463155606E-09,0,0,2.69789463155606E-09,5.23661347985031E-06,3.85798932312516E-07,2.78854389117634E-05,1.88852624208924E-08,2.72757147250317E-06,1.32196836946247E-07,6.11882502436914E-06,1.07915785262242E-08,4.50818192933017E-06,5.12599979995651E-08,1.62278362088097E-05,1.88852624208924E-08,1.38671784061981E-06,2.69789463155606E-09,2.983871462501E-06,1.34894731577803E-08,4.26267351785857E-07,2.69789463155606E-08,1.12771995599043E-06,5.98932608205445E-07,9.28075753255284E-07,0,1.18437574325311E-06,0,1.91010939914169E-06,6.20515765257893E-08,3.10257882628947E-07,3.39934723576063E-07,4.27886088564791E-06,4.04684194733409E-08,5.7465155652144E-07,0,4.59991034680308E-06,2.69789463155606E-09,0.000333497546985,8.89765649487188E-06,2.64663463355649E-06,0,4.14612446977535E-05,1.48114415272428E-06,7.41921023677916E-07,8.09368389466817E-09
2.45508411471601E-07,1.6457157252492E-06,0.000203434744692,0.001114783551232,0.00013942179877,0,2.61695779260938E-07,0.000110303422011,3.31841039681395E-07,0.0033870151594,5.39578926311212E-09,2.37414727576933E-07,3.23747355786727E-08,2.58997884629382E-07,7.43269970993694E-06,0.003426852271529,0,6.20515765257893E-08,2.99466304102722E-07,4.91016822943202E-07,1.62602109443884E-05,0.00038237800192,0.000231924512002,6.34544817341985E-06,0.000254082320611,0.001021951694855,9.38462647586774E-05,0.003779944627224,1.83996413872123E-06,0.000212809928537,2.97766630484842E-05,4.44559077387807E-05,1.88852624208924E-08,1.34894731577803E-08,0,0,7.82389443151257E-08,8.48379945839118E-05,1.51082099367139E-07,2.46047990397912E-06,5.66557872626772E-08,7.3922312904636E-07,1.61873677893363E-08,1.06917564248567E-05,1.88852624208924E-08,2.7815293651343E-06,5.39578926311211E-08,3.2725461880775E-06,8.09368389466817E-09,8.68722071361051E-07,1.34894731577803E-08,1.28149994998913E-05,7.82389443151257E-08,6.98754709573019E-07,2.13133675892929E-07,6.87963131046795E-07,2.42810516840045E-08,1.83456834945812E-07,5.39578926311212E-09,3.85798932312516E-07,3.50726302102288E-08,5.09902085364095E-07,2.10435781261372E-07,4.8562103368009E-08,1.81028729777411E-06,6.47494711573454E-08,5.39578926311212E-09,5.12599979995651E-08,3.23747355786727E-08,5.95964924110733E-06,7.33827339783248E-07,0.000395354875097,1.61873677893363E-08,3.86608300701983E-06,8.90305228413499E-08,0.000182666351819,5.39578926311212E-09,1.24912521441045E-05
0.003707346980583,4.69433665890754E-07,0.007878157186237,6.82918068085785E-05,0.000140007241905,2.61695779260938E-07,0,6.53430079762877E-06,0.00160931573088,5.39578926311212E-09,0.000952443137567,5.23391558521875E-07,0.004220089948994,1.15469890230599E-06,0.000219274084074,4.5864208736453E-08,4.00097773859763E-06,2.69789463155606E-09,2.32720390918025E-05,1.48114415272428E-05,1.06297048483309E-06,1.21405258420023E-07,2.49501295526304E-05,2.78503662815532E-05,1.29498942314691E-07,8.09368389466817E-09,4.5864208736453E-07,3.50726302102288E-08,4.3913630917838E-05,1.72665256419588E-07,7.01452604204575E-08,3.02164198734278E-07,1.34894731577803E-08,2.45508411471601E-07,2.69789463155606E-09,0,2.40112622208489E-07,1.88852624208924E-08,2.58188516239915E-06,1.34894731577803E-08,1.13311574525354E-07,4.31663141048969E-08,1.1600946915691E-07,2.42810516840045E-08,4.15475773259633E-07,2.42810516840045E-08,2.12863886429773E-06,8.09368389466817E-09,8.63326282097938E-08,0,1.45686310104027E-07,2.69789463155606E-09,1.05217890630686E-06,2.53602095366269E-07,1.26261468756824E-06,2.18529465156041E-07,1.74823572124833E-06,1.34894731577803E-08,4.82923139048534E-07,1.34894731577803E-08,2.17450307303418E-06,3.50726302102288E-08,1.0251999599913E-07,1.10613679893798E-07,1.2464273197789E-06,1.88852624208924E-08,3.07559987997391E-07,0,6.96056814941463E-07,2.69789463155606E-09,4.99110506837871E-06,5.39578926311212E-09,3.02164198734278E-07,5.39578926311212E-09,1.06297048483309E-06,1.34894731577803E-08,5.12599979995651E-08,2.69789463155606E-09
4.02256089565008E-06,0.003432234571319,2.33340906683283E-05,0.008104262339519,6.74473657889014E-08,0.000110303422011,6.53430079762877E-06,0,2.69789463155606E-09,0.002282348713036,5.66557872626772E-07,0.001101666387534,3.80942721975715E-06,0.004225129616166,2.69789463155606E-09,0.000253993290088,5.12599979995651E-08,5.36881031679655E-07,6.1026376565798E-06,4.70944486884425E-05,5.6116208336366E-07,2.12054518040306E-06,1.09345669416967E-05,8.22749946839335E-05,2.69789463155606E-09,2.69789463155606E-09,2.69789463155606E-08,1.56477888630251E-07,1.51082099367139E-07,6.33654512113571E-05,3.50726302102287E-07,3.50726302102288E-08,1.18707363788467E-07,5.39578926311212E-09,5.39578926311212E-09,0,1.61873677893363E-08,1.61064309503897E-06,5.12599979995651E-08,9.03794701571279E-07,2.15831570524485E-08,4.31663141048969E-07,2.69789463155606E-09,3.33459776460329E-06,2.42810516840045E-08,1.60794520040741E-06,2.96768409471166E-08,7.33827339783248E-07,0,1.07915785262242E-07,0,9.76637856623293E-07,5.93536818942332E-07,2.07198307703505E-06,9.1728417472906E-08,1.38671784061981E-06,6.74473657889014E-08,2.48206306103157E-07,2.69789463155606E-08,1.08994943114865E-06,6.20515765257893E-08,9.01096806939723E-07,3.50726302102288E-08,2.69789463155606E-08,8.39045230413934E-07,7.28431550520136E-08,8.09368389466817E-09,1.88852624208924E-08,1.88852624208924E-08,1.86154729577368E-07,1.61873677893363E-08,2.96768409471166E-07,5.39578926311212E-09,1.40290520840915E-07,2.69789463155606E-09,7.5271260220414E-07,5.39578926311212E-09,5.09902085364095E-07
2.69789463155606E-08,0,0.000173372104813,1.6457157252492E-07,0.002968345078896,3.31841039681395E-07,0.00160931573088,2.69789463155606E-09,0,0,1.88852624208924E-08,0,0.000225881228027,0,0.002327921549152,0,8.09368389466817E-09,0,1.34894731577803E-08,2.69789463155606E-09,3.23747355786727E-08,0,7.33827339783248E-07,3.77705248417848E-08,4.8562103368009E-08,2.69789463155606E-08,2.96768409471166E-08,0,8.44333103891784E-05,0,0,2.69789463155606E-09,0,0,0,0,3.23747355786727E-08,0,1.41639468156693E-06,0,4.8562103368009E-08,2.69789463155606E-09,1.21405258420023E-07,0,3.23747355786727E-07,0,1.40560310304071E-06,0,8.90305228413499E-08,0,1.26801047683135E-07,0,1.34894731577803E-08,0,4.04684194733409E-08,8.09368389466817E-09,1.07915785262242E-07,0,2.96768409471166E-08,0,2.02342097366704E-07,0,8.09368389466817E-09,1.07915785262242E-08,1.61873677893363E-08,0,2.96768409471166E-08,0,2.9407051483961E-07,0,1.15955511264279E-05,0,2.77883147050274E-07,0,3.46409670691798E-06,0,4.8562103368009E-08,0
2.69789463155606E-09,8.36347335782378E-08,9.22679963992172E-07,0.000221348765046,1.61873677893363E-07,0.0033870151594,5.39578926311212E-09,0.002282348713036,0,0,0,8.09368389466817E-09,0,2.05660507763518E-05,1.34894731577803E-08,0.003196581568937,0,2.69789463155606E-09,5.39578926311212E-09,1.07915785262242E-08,1.88852624208924E-08,7.01452604204575E-08,3.6961156452318E-07,2.69789463155606E-09,6.20515765257893E-08,5.39578926311212E-09,2.69789463155606E-08,5.93536818942332E-07,2.69789463155606E-09,4.80387118094872E-05,5.39578926311212E-09,0,0,0,0,0,2.69789463155606E-09,2.63854094966182E-06,5.39578926311212E-09,6.82567341783683E-07,0,4.5864208736453E-08,0,3.54503354586466E-06,0,1.88852624208924E-07,0,1.15739679693755E-06,0,3.80403143049404E-07,0,3.55582512439088E-06,0,2.69789463155606E-08,8.09368389466817E-09,8.09368389466817E-09,0,0,0,2.42810516840045E-08,0,1.88852624208924E-08,5.39578926311212E-09,2.69789463155606E-09,5.39578926311212E-09,2.69789463155606E-09,0,2.69789463155606E-09,0,7.33827339783248E-07,0,4.43803666890971E-06,0,5.90838924310777E-07,2.69789463155606E-09,1.13311574525354E-05,0,2.97038198934322E-06
